View,Name of Firm,Trade Name,unknown,unknown,"Address, line 1",City,State,Zip,Capabilities Narrative
304,Infometrix Inc,Infometrix,Paul J Bailey,,11807 N Creek Pkwy S Ste B-111,BOTHELL,WA,98011-8804,"Specializing in multivariate methods for chemical analysis and chemical finger printing, known as chemometrics. Includes applications in chemistry, petrochemistry, industry, health, bioscience, pharmacy and others."
305,ADAMOSKY TECHNICAL SOLUTIONS CORPORATION,,Matthew Adamosky,,15511 NE 23rd St,Vancouver,WA,98684-8659,
306,"Culbertson Marine Construction, Inc.",,ANDY  CULBERTSON,,12819 Similk Bay Rd,Anacortes,WA,98221-9307,"Marine construction, piledriving, riprap, dredging, etc."
307,"Mrs. Pumpco, LLC",,Marla Pillow,,2228 Elmway,Okanogan,WA,98840-9622,"We provide installation, maintenance, and repair for septic tanks. We also provide rental for portable toilets."
308,SMOOT 4D GEOVIZ LLC,,John L Smoot,,3121 W 30TH AVE APT E101,KENNEWICK,WA,99337-2486,"4dgeoviz offers geospatial solutions to develop cost-effective data collection plans, manage and optimize geophysical, seismic and well data, subsurface geologic conditions and deposits. Project and Program Management. Due diligence."
309,"AirSide Solutions, Inc.",,RONALD A NELSON,,2222 W Valley Hwy N Ste 150,Auburn,WA,98001-1655,Provide Airfield Lighting and Navigation Supplies; Airfield Equipment Technical Support and Repairs. Lightning Protection and Grounding Supplies and Support. HDPE conduit supplies and support.
310,"North Wind-CDM JV, LLC",,Kimberley Kearney,,801 6th St,Bremerton,WA,98337-1439,"The North Wind-CDM joint venture is a participant in SBA's 8(a) Mentor Protégé Program. The small business joint venture combines recognized small and large business leaders in the civil and environmental engineering, environmental remediation, construction, waste management, and regulatory compliance service industries."
311,"ANCHOR EXCURSIONS, INC.",,ANCHOR EXCURSIONS INC. Liden,,2631 PARK ST,BELLINGHAM,WA,98225-2336,"Vessel can accommodate up to 12 individuals plus crew, cruise at 8.2 knots, range of 1600NM, open salon, storage, swim platform, equipped with 18' RIB w/ 90hp Yamaha."
312,"ALASKA AIR FORWARDING, INC.",WORLD CARGO INTERNATIONAL SERVICES,JEFF Dornes,Vice President,4443 S 134TH PL,SEATTLE,WA,98168-6204,"Specializing in oversize or over 100 pounds, AAF uses multiple scheduled flights every day to Alaska, International ports and the lower 48 states. This creates a flexibility other carriers cannot match."
313,SOUVENIR PHOTOGRAPH CORPORATION,,Marc E Bryce,,1507 131ST AVE NE,LAKE STEVENS,WA,98258-9287,"Souvenir Photograph is a photography company that provides souvenir style photos and keepsakes at themed events and attractions.  Our core competency is developing unique photo keepsakes, and delivering products that drive revenue and enhance the guest experience.  While we focus on creating products and services that drive revenue, our primary concern is to help create a great guest experience, where purchasing a product is optional and not required."
314,"Engineered Compost Systems, Inc.",E C S,Tim O'Neill,,4220 24TH AVE W,SEATTLE,WA,98199-1216,"Engineered Compost Systems is a mechanical, electrical, and software engineering firm that designs compost systems, and provides a wide range of technical services. Our products are primarily used by municipalities and waste and compost companies. Our compost systems control odors and emissions; comply with stringent health and environmental regulations; and conserve electrical power."
315,NORTH STAR CONSTRUCTION AND ENGINEERING INC,,Darlin Sanchez,,1234 Charleston Beach Rd Ste D,Bremerton,WA,98312-4502,"North Star celebrates 25 years in the heavy civil construction industry. Under the SBA 8(a) program North Star has grown from specializing in horizontal construction, design-build construction, and vertical."
316,KIDD BIOLOGICAL INC,,Nina Kidd,,2911 MERIDIAN CT,ANACORTES,WA,98221-4808,"Endangered species surveys, wildlife research"
317,"International Belt & Rubber Supply, Inc. ",,Barbera GROVE,,4132 B Pl NW,Auburn,WA,98001-2446,"We provide specification manufacturing for plastics. We have the following products valves, fittings, hoses, rubber, sheet plastics, and sheet rubber."
318,"Wrecker Accessories, LLC",Zacklift International,Matthew S Freeborn,,1102 E 1st St,Cle Elum,WA,98922-9518,"Towing equipment factory engineered to be ready for the road. Drive under just like a trailer, and drive out when you require your truck for other purposes. Own your own towing equipment at a fraction of the cost of a complete tow truck and build on features as you need them: Winch, Anchor Legs, Toolboxes, ready to go now or later as your job requires."
319,"Waunch Construction And Trucking, Inc ",,Nathan Waunch,,11223 Littlerock Rd,Olympia,WA,98512-9281,"Complete Site Prep, Excavation and underground utilities. Road and civil construction"
320,"HOLADAY-PARKS-FABRICATORS, INC.",HOLADAY-PARKS,Lauren Martin,,4600 S 134TH PL,SEATTLE,WA,98168-3241,"Holaday-Parks, Inc. was founded in 1889, and is currently one of the largest, full-service mechanical contractors in the Pacific Northwest with offices in Tukwila, Washington and Fairbanks, Alaska. We offer our clients Design and Installation Services, Building Automation Services, MEP Services, Energy Services, and Service & Maintenance. Our Alaska Division specializes in HVAC Design and Installation, Sheet Metal Fabrication, Mechanical Insulation, and Specialty Architectural Metals."
321,"ACCESS ELECTRIC SUPPLY, INC.",,SCOTT  Yarnell,,235 AIRPORT WAY S,RENTON,WA,98057-5335,"Custom solutions to Electrical Switchgear, Power Distribution, and Motor Control projects. Authorized distributor for GE, Siemens and ABB."
322,"JT Marine, Inc.",J T,IRENE TORISTOJA,,2501 Se Hidden Way Vancouver,Vancouver,WA,98661-0000,"Dry docking, ship repair and new construction"
323,"Kaasco, Inc.",Kaas Tailored,Matthew Schudde,,13000 Beverly Park Rd Ste A,Mukilteo,WA,98275-5852,"Kaas Tailored is an high end upholstery shop in Mukilteo. We specialize in both Commercial and Residential furniture as well as Airline Interior Products. PPE has become our newest offering to help with the Covid-19 crisis. We have participated in the Providence 100,000,000 million mask challenge and just shipped over 1,000,000 Masks in support of this challenge."
324,"WordRake Holdings, LLC",,Jim Figel,,2500 Westlake Ave N,Seattle,WA,98109-2262,"Write clearer, more persuasive documents and more effective email with WordRake."
325,"Last U.S. Bag Co., The",,William Macia,,3000 COLUMBIA HOUSE BLVD STE 114,VANCOUVER,WA,98661-2969,"Manufacturing and production of textile bags and accessories for military, fire/rescue, tactical law, retail, medical, and industrial applications. Our specialties are custom designed goods with embroidery/silkscreen of brands and logos."
326,"JP INNOVATIONS, L.L.C.",,JEFFREY W PIERCE,,101 E Main St Ste 207,Monroe,WA,98272-1519,"Firm designs and builds custom solid state laser, electro-optic, and non-linear optical systems including Optical Parametric Oscillators"
327,"Morgan, A C",MORGAN & SON EXCAVATION,Laurie Morgan,,19 Harris Rd,Okanogan,WA,98840-8219,"We provide grey water pumping, septic tank and septic system installation, maintenance, repair, modification, and replacement, portable toilet rental and service, and excavation and site preparation."
328,"Empirical Group LLC, The",,Steven A Walter,,802 2nd Street Seattle,Seattle,WA,98104-1548,"The Empirical Group is a business consulting and project management firm that helps companies develop strategies for growth, mitigate risk, reduce waste, and improve performance; we work with both government and civilian entities. We're experienced in most industries and we implement tailored made solutions from known methodologies to address your biggest challenges. Please visit our website for more information. www.empiricalgrp.com"
329,BYERS AND ANDERSON INC,,Steven Crandall,,2208 N 30TH ST STE 202,TACOMA,WA,98403-3360,Byers & Anderson provides a full-range of court reporting services and capabilities.
330,"XDM INDUSTRIES, LLC",,Hubert Des Marais,,1331 Shine Rd,Port Ludlow,WA,98365-9288,
331,"Lite-Check Fleet Solutions, Inc.",,Bob Blair,,301 N HAVANA ST,SPOKANE,WA,99202-4725,"Inspection for commercial trailers and tractors using software programs. Inspections include brakes, lighting, tires, and abs systems."
332,"Capital Communications Industries, Inc.",CCI Solutions,D. Mark Bradley,Manager,1342 88th Ave SE,Tumwater,WA,98501-5716,"AUDIO-VISUAL, SOUND, LIGHTING, VIDEO EQUIPMENT, BLANK DVD AND CDR MEDIA AND SUPPLIES AND AN SYSTEMS INTEGRATION DIVISION THAT DESIGNS & INSTALLS SOUND, LIGHTING AND VIDEO SYSTEMS."
333,GANYMEDE GROUP INCORPORATED,,Randall B Ryan,,368 Merry Ln,Burbank,WA,99323-9624,Electrical engineering including instruments and controls.
334,Clean Lines LLC,,Theodore Simonson,,4865 W Casberg Burroughs Rd,Deer Park,WA,99006-9462,"Locally owned and operated small business with quality craftsmanship and competitive pricing. We specialize in building and structure painting, coatings, parking lot striping and asphalt maintenance."
335,"MBSquared, Inc.",West Sound Workforce,Monica Blackwood,,5790 Soundview Dr Ste 103,Gig Harbor,WA,98335-2024,"We are a client-centered staffing firm focusing on the Northwest Region and have over 8,000 successful staffing placements of all employment types. We provide temporary help, contingency staffing, executive and management search. We also providing background checks and skills testing."
336,"Saltchuk Resources, Inc.",,Todd  Cooley,,450 Alaskan Way Ste 708,Seattle,WA,98104-2785,Holding company
337,NW Power Inc ,,Clifton  R Steelman,,4400 S 47th Ave Ste 101,West Richland,WA,99353-6082,"Licensed to perform ALL types of electrical work in the State of Washington or Federal sites. Specializing in Government Projects specifically Hanford Nuclear Reservation and Army Corp of Engineers Hydroelectric Dam work, with an emphasis on Water and wastewater projects."
338,Tippett Land and Mortgage Company,,KIRT  SHAFFER,,2815 Saint Andrews Loop Ste F,Pasco,WA,99301-3480,"Leasing Office Space, Commercial Property Development, Residential Property Development"
339,"D Square Energy, LLC ",,Todd Plant,,201 W NORTH BEND WAY,NORTH BEND,WA,98045-8196,"Standby, Prime Diesel & Gas Generator Sales, Service, Turn Key Installations, Preventative Maintenance, Repairs, Paralleling. Modular Systems, EGSA Training, Generator power solutions experts. Serving the Northwest for 24 years."
340,VERSATILE DRILLING CONTRACTORS INC.,,JOHN C MARTH,,7201 Detroit Ave SW,Seattle,WA,98106-0000,
341,Advanced Technical Services Inc,,Nadia Ibrahimi,,8612 S 228TH ST,KENT,WA,98031-2449,"Advanced Technical Services NW, Inc. is a local, woman owned corporation. We offer a web based system so customers can access their calibration certificates at any time. Our services include Field technicians perform work at your facility, Environmentally Controlled Laboratory in Kent WA., Mobile Laboratory brings our dimensional capabilities to you. In addition to dimensional equipment, ATS specializes in temperature uniformities surveys, Rockwell hardness testers, calibration of force equipment including load cells, dynamometers and Universal Testing Machines. We also offer repair services for most of the equipment we calibrate. For more information, please visit our website at http://www.atsnwinc.com."
342,"Squareone Services, SPC",,Jessica Whitehead,,21300 68th Ave W Ste 105,Lynnwood,WA,98036-7310,A mental health and addiction treatment center specializing in co-occurring disorders.
343,CRESAP ORTHOTICS & PROSTHETICS Inc,,SEAN D CRESAP,,630 N Chelan Ave Ste A5,Wenatchee,WA,98801-6622,Healthcare practitioners based out of Wenatchee Washington. For more information please call: (509) 663-2490.
344,"Roadrunner Concrete Cutting, LLC",,Alanna N Speidel,,5081 SE Bobcat Ln,Port Orchard,WA,98367-9653,
345,"NUCLEAR TECHNICAL SERVICES, LLC",,Wallace Kennedy,,"8113 QUINAULT AVE, SUITE 201",KENNEWICK,WA,99336-8212,"Professional services including engineering, project management, scheduling, RAD protection/HPT, etc. Emphasis in nuclear sector - DOE, Commercial"
346,BZZCRPS Co.,Ivy Worldwide,Nicholas G White,,2556 29TH AVE W,SEATTLE,WA,98199-3324,We partner with third-party influencers to create and publish content that promotes your brand to their buyer audiences to generate engagement and inbound leads. We collaborate with third-party influencers to design and execute promotions for your products to generate incremental sales. We engage your best customers and third-party influencers to create reviews and recommendations to be found by buyers searching for your product category.
347,LOCAL PROS PAINTING & CONSTRUCTION LLC,,Haley M Pendergraft,,21803 Se 246th St,Maple Valley,WA,98038-8512,"We demonstrate great integrity from initially providing an accurate project proposal to guaranteeing 100% Customer Satisfaction upon job completion. Our team skillfully handles a spectrum of paint projects from apartment complexes to maintenance work to retail storefronts. Local Pros can accommodate business hours, schedule night work and handle time-sensitive work orders. Additionally, we are prepared to work with space limitations and create both budget friendly and efficient strategies for working amongst essential business and residential components. Our company is truly sensitive to our customer’s needs and we thrive in the challenges that come along with each project."
