view,name_of_firm,trade_name,Owner,address,city,state,zip,description
347,Pavement Maintenance Of Washington LLC,,Erin Button,19411 SE Green Valley Rd.,Auburn,WA,98092-1590,"Asphalt Paving, Concrete"
348,"CONFEDERATED CONSTRUCTION COMPANY, LLC",,David Burnett,18120 ANDERSON RD,OAKVILLE,WA,98568-9506,"General Contractor with experience in Commercial and Industrial building and remodeling, single & multi-family home building and remodeling, demolition, road construction & site work."
349,SIERRA ENTERPRISES INC ,,Carlton Lewis,6422 86TH AVE SE,OLYMPIA,WA,98513-5660,"Sierra Enterprises, Inc. (Sierra) has been serving the commercial and public sectors as a Specialty Contractor since 2005 and performs flooring, roofing, specialty coatings and concrete services. Sierra’s projects include public works, seismic retrofits, homes, parking structures, bridges, roadways, high-rise buildings, parks, water treatment facilities, ponds, and utilities. Safety and Green construction are two of Sierra’s highest priorities. Sierra has a deep seated culture of safety which every employee takes responsibility for on the job and on the road. Additionally, all employees are encouraged to promote and utilize LEED practices in all their construction activities."
350,"Saez Consulting Engineers, Inc. ",,Jaime M Saez,748 WINSLOW WAY E,BAINBRIDGE ISLAND,WA,98110-2410,"Civil Eng. Consulting for public and private developments varying in size and complexity. Etc: Institutional, Transportation, Infrastructure planning, design, Surveying and Settlement/Deformation Monitoring, and construction assistance services."
351,Colby Instruments LLC,,Victor K Chinn,15375 SE 30TH PL # 320,BELLEVUE,WA,98007-6551,PRECISION PROGRAMMABLE DELAY LINE INSTRUMENTS AND PIN DIODE DELAY LINE MODULES. TIME DELAY AND PHASE SHIFT
352,"Project Untaboo, Inc.",,Rachael Kim,1411 4th Ave,Seattle,WA,98101-2249,"An early stage femtech innovating period care through alternative tampons and pads sold through travel/tourism channels (hotels, taxis, planes, buses, etc). With travel kits and locator app, consumers have access to appropriate products as they travel, save time, stress and embarrassment, and are empowered to make better decisions for their bodies and the planet."
353,"WHITE SHIELD ENVIRONMENTAL, LLC",,STUART W Fricke,320 N 20TH AVE,PASCO,WA,99301-4963,
354,TECH FACTORS LLC,,Tamara Escamilla,1725 SUNSHINE AVE,WEST RICHLAND,WA,99353-8729,"A Diversified Technology Consulting Firm Specialized in information assurance, cyber security, system design, hybrid cloud solutions, edge computing, IOT mobility management, 5G, technical program and project management, independent oversight, internal audits, identity access management, administrative and technical security controls."
355,"EAS E&E JV, LLC",,Tyler A Phillips,350 Hills St,Richland,WA,99354-5511,"EAS E&E JV, LLC specializes in bringing state-of-the-art sampling techniques and technologies, environmental experts, and a proven track record of field performance to tackle complex scientific challenges; comply with regulatory requirements; and monitor, protect, and restore natural resources while maintaining operational objectives."
356,REH CONSTRUCTION LLC,,RICHARD HUBBARD,19119 5TH ST E,BONNEY LAKE,WA,98391-5618,
357,NEXTCOMM LLC,NextComm,Jean-Marie NGOK GWEM,23890 SE 286th PLACE,MAPLE VALLEY,WA,98038-3361,"IT and Telecommunication System Design, Network Engineering"
358,"Perez, Ubaldo",Green Tree Reforestation,UBALDO  Perez,1020 Alexander Ext Road,Grandview,WA,98930-9773,"Forestry industry, logging, landscaping, general agriculture work, commercial pesticide applicator(licensed)"
359,SAFE & SOUND SECURITY LLC,,Angeline Barnes,4302 A S PINE ST,TACOMA,WA,98409-6550,"We provide security guards for long term or temporary projects and locations. Foot patrol or vehicle patrol services. Safeguard and monitor construction sites, commercial & institutional buildings and private properties."
360,"VET FIRST CONSTRUCTORS, LLC",,Dennis Ray Farrow,1020 S 344TH ST STE 209,FEDERAL WAY,WA,98003-8713,Vet First is a HVAC and Plumbing contractor operating in the Pacific Northwest
361,"Palouse Power, LLC",,Jeff Zimmer,4745 STATE ROUTE 281 N,QUINCY,WA,98848-9166,"Palouse Power's majority Owner is a US Citizen, Minority Owner. We have a private investor so we have access to money quickly. Between our core employees we have 50 years plus experience in the excavation/Utility industry. We combine today's and future safety standards with new technologies and old school work ethics to complete jobs on time and on budget. Our other owner is a journeyman lineman with a lot of great field experience."
362,"HAYRE MCELROY & ASSOCIATES, LLC",HMA,James McElroy,9644 153rd Ave NE,Redmond,WA,98052-2546,"Code Compliance, Materials Testing, Special Inspection, Geotechnical Engineering & Inspection, Laboratory Testing"
363,"Corona Steel, Inc.",,Marc Paulsen,3015 106th St S,Lakewood,WA,98499-6701,"ERECTION OF STRUCTURAL STEEL, DECKING, BARJOISTS, CONVAYORS, MISCELLANOUS STEEL, WELDING, REBAR PLACING, PRECAST ERECTION, POST-TENTIONING"
364,"CATES & ERB, INC.",,Robert Erb,602 S FERRY ST,OMAK,WA,98841-0000,"Road Construction, Excavation Work, Drilling & Blasting, Septic,Sewer,Water and Storm Drainage, WaterShed Protection and Maintenance, River Armoring, Bank Stabilization,Erosion Control,Fish Habitat Restoration,Instream structures,Stream diversions,Bridges"
365,Velocity By Grace LLC,,Petr Chubenko,3329 E Sprague Ave,Spokane,WA,99202-4808,"We are a locally owned and operated, Minority owned business located in Spokane, WA. We specialize in hauling tall freight, long haul, over dimensional, flatbed, hotshot and more. Nothing too big or too small, and will run coast to coast."
366,Abn Technologies LLC,,TRENA PAYTON,2367 Tacoma Ave S Ste C105,Tacoma,WA,98402-1409,"As preferred vendor by local public agencies for many years, we are a complete solutions provider. We specialize in services, hardware, and staffing to assist clients in achieving their business and goals."
367,JAG Corporation,,Joseph A Gobin,9 Cedar Loop Rd,Tulalip,WA,98271-7082,"excavating, utilities, road grades, asphalt, crack sealing, demolition, pothole repair, concrete curbs and gutters, hauling, earthwork, water/sewer installation, site preparation, wetland restoration, underground utilities, culvert replacement, erosion and sediment control, traffic control, complete illumination systems, light pole replacement, permanent sign replacement, brush cutting, and forest roads, noise barrier wall artwork. For more information you can reach us at 360-652-5335."
368,Q KING TRUCKING & CONSTRUCTION INC,,Quedessa King,473 PETERS RD,RANDLE,WA,98377-9603,"Clearing, grubbing, tree removal, excavation, hauling"
369,LODGING PARTNER SERVICES LLC,,Arleyna    Taylor-Abejero,11805 Se 233rd St,Kent,WA,98031-3762,"Lodging Partner Services , we provide Top Tier Concierge services when booking your group rooms . One call away and we will facilitate your request to our Partner Network and find the perfect lodging solution for you and your team. We partner with 2-4 Star hotels to provide quality Lodging for our members. In addition, we simplify the group booking process with our procurement division in an effort to match the members with a quality lodging partner tailored to their request."
370,"QUALITY WOODWORKING & CONSTRUCTION, LLC",,EUGENE HARDIN III,557 SHATTUCK AVE S,RENTON,WA,98057-2424,"Quality Woodworking & Construction LLC is a general contracting firm with a strong emphasis in finish carpentry and Division 6 & 12 work. Historic Renovations, Masonry"
371,Native Ways LLC ,Apachewolf Productions ,Freddie W Begay,15313 NE 13th Pl Ste 802,Bellevue,WA,98007-4521,"Video shooting, pre and post production, editing, and live video streaming. Producing training, instructional, informational, archival, and commercial videos. Aerial drone video services."
372,"DERIAN, INC.",,MARK  Jensen,12735 WILLOWS RD NE,KIRKLAND,WA,98034-8717,"Derian, Inc. is a design-build and bid-build Prime Contractor that self performs 70% to 80% of projects with its own forces. Core Competency includes construction of large marine installations such as ports, boat harbors, timber/sheet pile bulkheads, breakwaters and in water cofferdams. Heavy highway experience is highway/pedestrian bridges and roadway. The firm has an extensive resume of industrial work including water/wastewater treatment facilities, water/sewer pumping stations and bulk fuel facilities. Derian has constructed the worlds tallest FAA missile defense tower, submarine communications towers and radar towers."
373,"Sealaska Constructors, LLC",,David McQueen,1200 6th Ave Ste 800,Seattle,WA,98101-3123,"SeaCon is a multidisciplinary General Contractor specializing in Federal Contracting programs throughout the United States. We operate three business units: Heavy Civil Construction, Vertical Design/Build, and Environmental Services."
374,GSI Pacific Inc.,,Sonia M Shjegstad,10116 36th Ave CT SW Suite B15,Lakewood,WA,98499-4791,
375,"K Rounds, LLC",,David Lam,115 E WILLIS ST,KENT,WA,98032-5930,"We will manufacture high quality, hand-crafted accessories for shooters who demand strength and reliability. We will remain a company that respects the shooting industry, its customers and its employees."
376,FIRE PREVENTION SERVICES INC,,ALEX Jamito,10520 SE 200TH ST,KENT,WA,98031-5549,"Provides hood cleaning, maintenance and installation of fire suppression systems for commercial kitchens. Gaylord Kitchen Hood certified."
377,"Kamsy Group, LLC",,Godwin Ugwoaba,15418 11 AVE SW,BURIEN,WA,98166-2112,"The Kamsy Group facilitates effective working relationships with owners, designers, consultants and contractors. Project planning, project management, construction services, consulting services, program management; budgeting, architect, consultant and contractor evaluation and selection; on-site conflict resolution, quality control, cost control, project oversight, project documentation and inspection to ensure work site safety and project compliance with design specifications, project on schedule and budget"
378,"New Jack, LLC",,JOSEPH FREEMAN,900 1st Ave S Ste 201A,Seattle,WA,98134-1208,"New Jack LLC is a janitorial and construction clean up company. We provide building maintenance for residential, commercial, construction cleaning and all janitorial services."
379,"Sea Technology Construction, INC",STCC,Jose  Zamalloa,309 S Cloverdale St Ste E 15,Seattle,WA,98108-4582,"Design, installation, maintenance & repair of marine electrical & electronic systems; marine and commercial metal fabrication; pipefitting"
380,MARPAC CONSTRUCTION L.L.C.,,SAI CHALEUNPHONH,1225 S WELLER ST STE 500,SEATTLE,WA,98144-1906,"NEW CONSTRUCTION & RENOVATION BUILDINGS, INSTITUTIONAL & INDUSTRIAL."
381,"Geometrics Engineering, P.S., Inc.",,Joshua T Alcantara,12835 NE BEL RED RD STE 305,BELLEVUE,WA,98005-2650,"Geometrics is a full service Civil Engineering firm highly specialized in Airfield Design, Geotechnical and Pavement Engineering, Construction Management, Program Management, Drainage Design, Cost Estimation, Constructability Reviews, and CADD Drafting"
382,"HyGen Pharmaceuticals, Inc.",,Ralph Young,8635 154th Ave NE,Redmond,WA,98052-3564,"HyGen Pharmaceuticals, Inc. is a nationwide wholesale distributor of Prescription Pharmaceuticals both generic and brand-name drugs, OTC Drugs and Diabetic Medical Supplies. 23 years of experience in the commercial business sector of pharmaceutical products to independently owned retail-pharmacies, Long-term Care facilities, and small Chain-Pharmacies. Highest quality, competitive pricing and superior service."
383,SILVER SLICE BAKERY INC,,Tonyia L Smith,2310 A St,Tacoma,WA,98402-2912,"We are a minority-women owned bakery specializing in gluten-free baked goods and offer dairy-free, sugar-free, vegan and organic non-gmo options. Breads, pastries, desserts for retail and wholesale based."
384,"Environmental Assessment Services, LLC ",,Robin Tiller,350 HILLS ST STE 112,RICHLAND,WA,99354-5511,"EAS is a high quality Consulting Firm for Cultural Resources; NEPA, Compliance, Research, Surveillance, and Restoration; Spill Response & NRDA Support; CERCLA RI/FS; Ecological and Health Risk Assessments; & Wetland Delineation."
385,iUnderstand LLC,iUnderstand LLC Counseling & Therapy,Wensi Dong,16275 Ne 85th St Ste H,Redmond,WA,98052-0851,"Provide marriage and family therapy, dual language couple therapy (Chinese and English),sex therapy; HR, Payroll, benefits consultant service. Business connection in China"
386,"Williams, Willie",Cabledout,willie e williams,2019 Martin Luther King Jr Wy,Tacoma,WA,98405-3837,"Cabledout.com is California based Communications and Low Voltage Systems Contractor. We provide Sales, Installation and Service for Fixed and Portable Communication Systems, Consumer Electronics, Audio Visual, Security Cameras and Monitors, Data Storage, Computers and Tablets, WiFi and WLAN/LAN Network Equipment, Background and Foreground Music Systems, Public Address Systems and Cable/Satellite TV alternatives for Industrial, Commercial and Government entities."
387,"KLET & J, LLC",SMBIZ Consulting Services,GARY  M TRUJILLO,733 NE 204th St,Shoreline,WA,98155-1040,"SMALL BUSINESS ADMINISTRATIVE & GENERAL MANAGMENT CONSULTING SERVICES & BUSINESS DEVELOPMENT TRAINING ASSISTANCE IN SMALL BUSINESS SET-ASIDE CERTIFICATIONS, GOVERNMENT CONTRACTING, CONTRACT NEGOTIATIONS, BID/COST PROPOSAL PREPARATION & BUSINESS START UP's."
388,7 GEN HVAC LLC,,Erich Bourgault,6195 Ford Wellpinit Rd,Wellpinit,WA,99040-0000,"7GenHVAC, LLC provides quality installation, service, and repair to Institutional, Commercial, and Residential customers. 7GenHVAC, LLC also provides quality Institutional, Commercial, and Residential construction."
389,PREFERRED INDUSTRIAL ELECTRIC LLC,,Fermin Fernandez,8924 W BONNIE AVE,KENNEWICK,WA,99336-7956,Electrical Construction: Industrial commercial Residential Service
390,"Cyber Capitol, LLC",,Les Struthers,121 Duvall Ave Se,Renton,WA,98059-5062,"Cyber Capitol LLC.is a technical service provider networking and security services Certified by Cisco, Microsoft,and Comp TIA. Our network integration services are incorporated into your local services and can become a seamless part of wide area network services, including firewall design and construction and Layer 2 and Layer 3 switching."
391,CORROSION MITIGATION LLC,,STUART  Ell,7023 76TH DR NE,MARYSVILLE,WA,98270-6553,"Corrosion evaluations, Corrosion control by material selection, cathodic protection; system survey, diagnostics & monitoring."
392,Macnak Construction LLC,,TERENCE DEE KALAUOKALANI KING,12802 Bridgeport Wy SW,Lakewood,WA,98499-3373,"General Contractor, concrete, framing, flooring, roofing, excavation, heavy construction, road, culvert, site preparation, debris removal, clearing, grubbing, industrial and residential building construction and remodel"
393,NAPA VALLEY MINING COMPANY,,Karry C Friendly,625 101ST PL SE APT C,EVERETT,WA,98208-3968,"We are in the business of Mining Reclamation and Fire Resistance Coatings for all industries. Our products are Fire Resistant Tested for Wood, Cardboard and Metals. Mixed with Enamel Paint to create a Superior Fire Resistant Product. We can be reached at 425-239-2900."
394,"North Wind Construction Services, LLC",,BRENT BROOKS,801 2nd Ave Ste 311,Seattle,WA,98104-1512,"North Wind Construction Services (NWCS) is a heavy civil construction firm specializing in Rapid response, disaster recovery, mine reclamation; site demolition and reconstruction; landfill waste and repository construction; floodplain, habitat, and water quality improvements; site remediation, stream restoration, and wetland construction; and recreation facility construction. NWCS is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family is managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, NWCS operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system. NWCS offers clients a low risk 8(a) business concern that is backed by a mature, financially strong parent organization and an excellent past performance history."
395,3D SoluTech Inc,,Luke Zhao,4330 53rd Ave NE,Seattle,WA,98105-4939,"Your 3D printer helps you make your ideas a possibility, but our filaments are there to secure your ideas. We are committed to the provision of the finest filaments as well as various color selections. Also, we want our products to be affordable to you, so that 3D printing can be fun to anyone."
396,"PUGET SOUND QUALITY COATINGS, LLC",Puget Sound Quality Coatings,James McMillan,6307 7th Street Ct E,Fife,WA,98424-1477,"Specializing in new construction painting and repaint, interior and exterior."
397,Nu Element Inc,,KAREN  FLECKNER,1201 PACIFIC AVE STE 600,TACOMA,WA,98402-4384,"Nu Element is an alternative energy company that provides expertise in the following areas: Reforming Technologies, Fuel Cell System Integration, Catalyst Development, Desulphurization, Modeling, Software Engineering and AI Applications."
398,"Steadfast Construction, Inc.",,Isaiah Park,4913 70TH AVE W,UNIVERSITY PLACE,WA,98467-3230,"General construction services in commercial and residential remodeling, renovation, and repairs."
399,Sunset Company LLC,,Luis Yepez,16444 SE 135th St,Renton,WA,98059-6921,"Structural steel erection and all ironwork including pre-engineered steel buildings. Misc welding & full penetration welding. Stairs, handrails, rails, decking and pre-cast install. Installation of rebar, wiremesh, post tension cables."
400,"ORCA DESIGN GROUP, LLC",,Jill Neumeister,3417 Harborview Drive 101A,Gig Harbor,WA,98332-2137,"Native American Owned. Woman Owned. Web design, branding & marketing firm. Branding services: graphic design, logos, identity, brand guidelines, illustration and messaging guides. Digital marketing services: web design & development, email marketing, infographics, PowerPoint presentations, videos, web banners, websites, microsites, landing pages, social media strategy and content, SEO, pay per click and managed marketing services. Print services: brochures, training materials one-sheets, flyers, direct mail, postcards, catalogs, print ads, print management, and press checks. Event support: promotional branded materials, trade show booths, wayfinding, signage, banners, environmental graphics, packaging, photoshoots, vehicle wraps, and illustration."
401,"Berney, Geral Louis",Scotch Creek Construction,GERAL Berney L Berney,1593 Conconully Road,Okanogan,WA,98840-9770,"We are a General Contractor that does dirt work, site prep, underground utilities, hauling material and x material, retaining walls ect.."
402,VALENTINE NLL LLC,VALENTINE NLL,Renaldo Valentine,11219 147th Avenue SE,Renton,WA,98059-4318,Northern Lights Logistics is a Service Disabled Veteran Owned Small Business. Our purpose is to save State Agencies and Federal Agencies thousands of U.S. dollars by partnering with manufactures and suppliers. These partnerships allow us to keep prices low and offer the same value and service most companies pay 25% - 35% more for by going directly to these companies. NLL offers better pricing on office equipment and supplies than Staples contracts and major savings on shipping items from Anchorage to the villages and from the lower 48.
403,BCE Construction Inc,BCE CONSTRUCTION,SAMUEL ROSS,1135 LAKE WASHINGTON BLVD N UNIT G212,RENTON,WA,98056-2943,"236118 Renovation, addition and rehabilitation for Residential Construction: Over 25 years of experience in working on rehabilitation projects, demolition, re-configuring rooms, bearing wall handling, engineering engagement on technical details.  236220 Commercial Building Construction: Over 6 years working on projects from design, build, to additions.  238330 Flooring Installer for Carpet, Hard Surfaces, and Wood Installation: Over 12 years of experience in installation of carpet, hard surfaces, and wood.  238340 Stone, Ceramic, Floor Leveling, All Tile and Natural Stone Flooring Installation: Over 6 years of experience in installation of all tile work, grouting, and backboard installation."
404,MUNDIAL GROUP INC.,,DONACIANA  RUDD,81 BAIRN DR,SILVERLAKE,WA,98645-9820,"Mundial Group offers Precommissioning, Commissioning, Start-up, Calibration, Maintenance. Instrumentation and Controls.QA/QC for industrial manufacturing facilites."
405,Radiant Logistics Partners LLC ,,Jason L Dennis,405 114th SE Fl 3,Bellevue,WA,98005-6475,
406,Neppel Electrical & Controls LLC,,JERRY  MONCADA,4703 KELLY PL NE,MOSES LAKE,WA,98837-4306,"Neppel Electrical & Controls LLC has been serving Columbia Basin customers since 2001. We are licensed and bonded to service commercial and industrial customers in the state of Washington. Our primary focus for the past 5 years is servicing large, industrial, and new construction customers. We are capable of completing the details of a job assignment quickly. Fiber Optic, Lighning Protection, 508 UL Panel Shop"
407,"HOME PRIVATE INVESTIGATOR/HOME P.I., LLC, THE",GOD'S GREEN EARTH,Virgil Pelton,2106 N STEVENS ST,TACOMA,WA,98406-3940,"Mold / Remediation / Investigation allergen testing, Concrete repair and sealing & finishing, Brick sealing repair , Drywall repair painting , Wood preservation and repair"
408,"Sealaska Construction Solutions, LLC",,David McQueen,1200 6th Ave Ste 800,Seattle,WA,98101-3123,"design build, design bid-build, SRM, new construction, pre engineered medal buildings, civil environmental, construction management, remote projects, medical, visitor centers, drone support"
409,SOUND SAFETY PRODUCTS INC.,WORK 'N MORE,ERIC OLMSTEAD,3602 BROADWAY,EVERETT,WA,98201-5028,
410,MAGELLAN ASSOCIATES PLLC,MAGELLAN ARCHITECTS,PEDRO  Castro,8383 158TH AVE NE STE 280,REDMOND,WA,98052-3862,Architectural design services from preliminary feasibility studies through construction documents and construction administration
411,"HOT MIX PAVERS, INC.",,ROGER  Clairmont,4400 S 131ST PL,TUKWILA,WA,98168-3259,"Asphalt Paving, Asphalt Patching, Trench Patching, Grading, Excavating, Dump Trucking"
412,"Planled, Inc.",,Robert Shin,1800 S 341st Pl,Federal Way,WA,98003-6859,
413,"ECODATA ANALYTICS, LLC",,Richard J Mainwaring,1200 Sixth Avenue Suite 800,Seattle,WA,98101-3123,"Primary services include custom software development, artificial intelligence (AI), machine learning, data science, cloud migration, agile process implementation, data management, data cleansing and conversion, self-service business intelligence (BI), data visualization, advanced analytics (predictive, prescriptive and cognitive), and maturity model assessments. The mission of EcoData Analytics, LLC is to develop and implement solutions that link data, make information accessible and create models. These solutions allow clients to make better decisions, gain valuable insights and enable decisions that ultimately can help our clients save money."
414,"NORTH WIND SERVICES, LLC",,JIM FURR,507 KNIGHT ST STE A,RICHLAND,WA,99352-4258,"North Wind Services is an engineering, construction, and consulting firm specializing in technical support services, nuclear consulting, compliance and permitting, health and safety, natural and cultural resource support, NEPA, GIS, and decontamination and decommissioning. North Wind Services is part of a family of companies with common ownership under Cook Inlet Region, Inc. (CIRI), an Alaska Native Corporation (ANC). The North Wind family is comprised of seven companies and is managed by North Wind Group, a CIRI government contract holding entity. Under North Wind Group, North Wind Services operates under a proven corporate infrastructure that has been in place for over 18 years, a low EMR of 0.76, and a DCAA-approved accounting system to successfully execute Government contracts. North Wind Services offers clients a low risk 8(a) business concern that is backed by a mature, financially strong parent organization and an excellent past performance history."
415,"Mirack Construction, Inc.",,Anthony Cortabitarte,818 99th Street East,TACOMA,WA,98445-3129,
416,Unique Experience Custom Emb Inc,Unique Experience,RONALD  D FLEMISTER,623 N CALLOW AVE,BREMERTON,WA,98312-3903,"Custom Embroidery, Screen Printing, Sewing, and Advertising Specialies"
417,Doyon Project Services LLC,,Anthony Wood,3450 S 344th Way Ste 100,Federal Way,WA,98001-5931,"Doyon Project Services is a Washington State based general contractor that specializes in new construction, renovations, heavy civil and levee projects for the federal government and Department of Defense (DoD) Agency clients."
418,"Proto Technologies, Inc. ",,Rory L Nay,22808 E Appleway Ave A,Liberty Lake,WA,99019-9514,"Rapid Prototyping, Additive Manufacturing, 3D Printing, silicone moldidng, Silicone casting Urethanes Castings, CNC Mill Machining, CNC Lathe Machining, Painting, Thermoforming."
419,"Land Development Consultants, Inc.",,FRANK L Lemos,20210 142ND AVE NE,WOODINVILLE,WA,98072-4477,"We offer Site Design/Engineering and Surveying for a variety of Commercial – Infrastructure – Residential projects; including Road System, Sewer system, Water system, Storm Water system, and Irrigation System design."
420,"T.D. Wang Advertising Group, LLC ",TDW+Co ,TIMOTHY WANG,600 Stewart St Suite 800,Seattle,WA,98101-1248,"TDW+Co is an award-winning, full-service, community-based advertising agency with a mission to create meaningful dialogue that inspires communities to make the world a better place. Founded in 2004, TDW+Co is privileged to work with dedicated brand partners that share its mission including AARP, St. Jude Children’s Research Hospital, U.S. Bank, and the U.S. Census Bureau, serving as the official national communications and outreach partner to the Asian American communities for the 2020 Census. TDW+Co is a 100% certified minority-owned and disadvantaged business enterprise with offices in Seattle, Los Angeles, and New York. For more info, visit tdwandco.com."
421,"Rodarte Construction, Inc. ",,JR RODARTE,17 East Valley Highway East,Auburn,WA,98092-5531,"UNDERGROUND UTILITIES, WATER MAIN, STORM SEWER, SANITARY SEWER, ROAD/HIGHWAY CONSTRUCTION, MASS EXCAVATION, GRADING, ROCKING, DITCHING, SLIDE REMOVAL, CLEARING, GRUBBING, SITEWORK, TRAFFIC CONTROL, EROSION CONTROL, BUILDING MAINTENANCE: PAINTING"
422,AMERICAN ABATEMENT AND DEMO LLC,,Mari Borrero,18855 SE AUBURN BLACK DIAMOND RD,AUBURN,WA,98092-9109,"At American Abatement and Demo, LLC, we sustain our company on reliability, great communication, integrity, and quality work. We strongly believe in giving our absolute best in all our projects. We are experts in our trade and will always keep you educated on your particular task or project."
423,"Global Business Development, LLC",,LYNN D FRENCH,37610 30th Pl S,Federal Way,WA,98003-7791,"GBD provides a full spectrum of management and business consulting services; organizational, operational and financial analysis; operating and capital budget development and management; accounting services; strategic planning, cost-benefit analysis, market-analysis and marketing; human resource management and consulting; professional and management training and development; project development, facility design, construction and facility management."
424,Purpose Investment Group LLC,Bumble Bee Management,Matondo Wawa,917 Pacific Ave Ste 306,Tacoma,WA,98402-4434,"We provide management consulting services, leadership development, process improvement, six sigma training and full support logistics services. We specialize in growing people and organizations; enhancing interpersonal aspects of the organization while improving operational efficiency and service delivery. Our CEO Dr. Matondo Wawa is an accomplished veteran of Department of Defense with an extensive background in leadership training, as well as a track record of success in program development, personnel management, supply chain, and training operations. Outstanding performance in all capacities across many years of service, highlighted by numerous awards and commendations. Superior communicator, coach, and leader capable of cultivating key relationships and collaborating with diverse people and entities."
425,PACIFIC NORTHWEST SHREDDING INC,,Mark G Mamon II,3215 LAFAYETTE AVE S,SEATTLE,WA,98144-6336,"PacNWShred provides on-site, certified-secure, compiant information destruction services to businesses of all sizes. We also train customers and can develop a policy to further reduce and mitigate the risk involved with a data breach."
426,"TROY COMPANY, INC.",,GERALD GRAY Gerald Gray,603 STEWART ST STE 616,SEATTLE,WA,98101-1263,Bulk Petroleum Distributor Biodiesel manufacturer/processor
427,VARIABLE MAPS INC,,Rich Voslow,1050 ALVARADO TERRACE,WALLA WALLA,WA,99362-2104,"Direct Mail advertising, Personalized Maps used in marketing collateral and printing."
428,Britton And Associates PLLC ,,Antonio D Britton,17914 112th Ave SE,Renton,WA,98055-6523,"Architeture and Engineer, Construction, Concrete, Landscape"
429,NEW PURSUIT CONSULTING SERVICES - LLC,,Gila  J Burton-Curl,24271 229TH AVE SE,MAPLE VALLEY,WA,98038-5162,"Provide custom services to automate data and information. New Pursuit seeks to analysis business data by creating database, SQL Reports, data visualization, Dashboard and automated system to aid manage in understanding business data. Services include geo-database, relational database design from development to back-end management."
430,"NORTHWEST HELICOPTERS I, INC.",,DOUGLAS R UTTECHT,1000 85TH AVE SE,OLYMPIA,WA,98501-5733,"Utility helicopter company. Firefighting, charter, timber harvesting, forestry spraying and fertilizing, motion picture, vertical reference/ slingload operations."
