name_of_firm,trade_name,category,owner,address,city,state,zip,description
"Saul Jr, Jerry John ",C & J Northwest Security ,veteran-owned,Jerry J Saul,12838 Morris RD SE,Yelm,WA,98597-9217,Certified Safe / Vault Technician / Inspector / Locksmith.
LYNCH JANITORIAL AND CLEANING,,veteran-owned,Leslie Lynch,36415 NE ELLIOTT RD,YACOLT,WA,98675-4914,"LYNCH Janitorial and Cleaning,LLC provides high quality, detail oriented commercial janitorial services including window washing and carpet cleaning. LYNCH Janitorial has 'green cleaning' service programs available."
"GAMBLIN ENTERPRISES, INC",ALL AMERICAN METAL FINISHING,veteran-owned,DAVE  AMLIN,5609 176TH ST SW,LYNNWOOD,WA,98037-2816,Alkaline Zinc Electroplating job shop. Barrel and Rack plating available with Clear Chromating and Iridescent Yellow Chromating. Passivate on small job basis is available.
"RAVENWOOD CAPITAL MANAGEMENT, LLC",,veteran-owned,Scott Jackson,2525 E 53rd Ave Apt F205,Spokane,WA,99223-9151,"Ravenwood Capital Management, LLC constructs Investment portfolios, conducts research, and manages/invests capital on behalf of clients."
K And L Spray Service Limited Liability Company,,veteran-owned,Hugo A Mertens,9100 RUSSELL RD,MESA,WA,99343-9606,Specialized in pesticide application and weed control programs.
Ross Company Engineering Services LLC,RCES,veteran-owned,MICKEY V ROSS,9324 Canyon Rd E,Puyallup,WA,98371-6306,"Ross Engineering Services LLC provides process, systems and computer engineering; quality assurance; graphical information systems and sustainability management; renewable energy: solar and wind (offshore and land) systems products and services. State Certified water testing. Certified Marriage and family counseling. Certified Social worker, Medical Insurance Training for Providers including TriCare."
JEFF JOHNSON EXCAVATING LLC,,veteran-owned,JEFFREY L JOHNSON,1812 N 203RD ST,SHORELINE,WA,98133-3307,"Concrete and Steel demolition, heavy highway demolition, crushing and aggregate screening."
Regiment System Support Solutions LLC,,veteran-owned,Thomas Carlson,3318 115th Ave SE,Snohomish,WA,98290-4009,
"ABW TECHNOLOGIES, INC.",,veteran-owned,Hayley  Blackwell-Olsby,6720 191ST PL NE,ARLINGTON,WA,98223-4666,"ABW Technologies, Inc. (Formerly American Boiler Works, Inc.) is a custom metal fabricator located in Arlington Washington. We participate in a variety of industries including Aerospace, Defense, Oil and Gas, Transportation and Nuclear."
"Blue Mountain Electric, Inc.",,veteran-owned,Nathan J. Howat,1181 NE 21st Ct,Oak Harbor,WA,98277-2717,"WA Veteran Owned Small Business with extensive military contracting experience with design-build, industrial and commercial projects. Specializing in design-build and design bid-build projects for the U.S. Navy in the Puget Sound Region."
"StratIQ Consulting, LLC",STRATIQ CONSULTING,veteran-owned,Brian Williams,4422 S Magnolia Street,Spokane,WA,99223-6438,
"Dillio, Inc",Action Man Plumbing,veteran-owned,Kelly Bell,397 Klondike Rd,Republic,WA,99166-9745,"Dillio Inc. DBA Action Man Plumbing is a plumbing company based out of Republic, WA. We specialize in plumbing , gas piping and new construction plumbing. We are licensed, bonded and insured. To view more on our Federal Contracting please visit Fedlinks DILLIO, INC ."
KAL Rehab LLC,,veteran-owned,Kittie Lafazia,604 Industry Drive,Tukwila,WA,98188-0000,"Repairs,servicing,evaluations and training for Veterans in all aspects of wheeled mobility (wheelchairs/scooters) Our company President is a Vietnam era veteran. Our staff includes a licensed OT/ATP and a CRT specialist. We also provide a full range of clinical and technology-related services for Veteran home safety and accessibility."
AXYS SERVICES INCORPORATED,,veteran-owned,PS S Reilly,5400 CARILLON PT,KIRKLAND,WA,98033-7357,"ASI imports and does final assembly/manufacturing on environmental monitoring solutions for research and management of environmental, energy and public safety applications. ASI can also provide turnkey project management for the operation and maintenance of these assets, including both onshore and offshore support. ASI is a trusted provider of AXYS Technologies buoy solutions in the United States."
SCHIRA CONSULTING,,veteran-owned,CELT M SCHIRA,1028 12TH ST,BELLINGHAM,WA,98225-0000,"Electrical design services (power, lighting, communications and photovolataics) informed by sustainable building expertise. We provide elctrical engineering for the built environment. We meet the clients’ goals and budget. Solid initial electrical design saves money in construction, operations, maintenance and future building reuse. Sustainably designed buildings are more energy efficient, have higher building rental and resale values, higher employee satisfaction, and better customer response."
A & R Aviation Services Inc ,,veteran-owned,RONNIE HIX,7915 Old Hwy 99 Se,Tumwater,WA,98501-5711,"With 30+ years combined experience in the repair and overhaul of large Boeing/Douglas aircraft, A&R Aviation is your Repair Station of choice. Our capabilities cover mechanical components, flight surfaces, structural components and composite structures."
"Jones & Associates Contract Services, LLC",,veteran-owned,Joseph Jones,747 Washington Ave N Ste B,Kent,WA,98032-2917,"Jones & Associates Contract Services, LLC is an (IT) solutions services company that provides consulting service on acquisitions of computer hardware, software and peripheral equipment. It provides consulting services on sourcing, procurement and delivery services with logistical support. Providing competitive services for procurement of electronic computer manufacturing, storage devices and cloud availability. We can also help with all computer accessories including notebooks, tablets, servers, software, monitors and projectors. It serves large departments and small to medium enterprises and is located in the south end of Seattle/Puget Sound. We have a reputation for excellence, accuracy, product availability with a strong customer services orientation."
MILLENNIA HEALTHCARE INC.,,veteran-owned,LARRY O UDE,21400 INTERNATIONAL BLVD STE 205,SEATAC,WA,98198-6086,"Millennia is a Washington State Home Care Company in business since 1999 committed to helping our clients enhance their quality of life through our care services. Our non-medical services include, assistance with personal care, dressing, bathing, toileting, and medication reminders."
Pacific Northwest Consultants LLC ,,veteran-owned,Doug C McAlpine,19309 68th Ave S Ste R111,Kent,WA,98032-2112,"PNWC is a CPA firm providing training and advisory services to Government contractors (accounting, estimating, purchasing, billing, and timekeeping systems). PNWC also conducts 'yellow book' audits for Governmental and non-governmental entities."
"Vuetura, Inc.",,veteran-owned,Steven Younger,4164 148TH AVE NE,REDMOND,WA,98052-5164,"Created Automated Receiving, Delivery and Tracking Software Application. Supply Chain Automation"
"KNF CONSULTING SERVICES, LLC",,veteran-owned,Karl N Fleming,1225 W RIVERSIDE AVE,Spokane,WA,99201-1107,Engineering Services
H. F. Hauff Co Inc.,,veteran-owned,Dean Hauff,2921 Sutherland Dr,Yakima,WA,98903-1891,"Manufacturer of specialized agricultural equipment to include wind machines for frost protection, orchard sprayers, vineyard sprayers, weed sprayers, stainless steel tanks, laser cut parts, cnc machining"
"SETRACON, INC.",,veteran-owned,Jeffrey A Slotnick,9101 24TH AVE E,TACOMA,WA,98445-5827,"All-Hazards Risk, Threat & Vulnerability Assessments; Organizational Resilience Management; Homeland Security Enterprise; Investigations; Training of Law Enforcement, Security & Military; Corporate Protective Services & Human Resource Consulting Services."
Prismoid Optical Laboratory Inc,Bec's Specs,veteran-owned,REBECCA Doherty,216 E 5TH ST STE A,PORT ANGELES,WA,98362-3008,"Manufacture Lenses for eyeglasses, Manufacture optical lenses for glasses"
"MINISTER & GLAESER SURVEYING, INC",,veteran-owned,DANIEL   Renton,2200 E EVERGREEN BLVD,VANCOUVER,WA,98661-4317,Land Surveying
AKESO LLC,AKESO ASSOCIATES,veteran-owned,Carmine Bozzi,1136 8TH AVE WEST,SEATTLE,WA,98119-3440,Akeso Associates is a Seattle-based company specializing in global public health and development in low income countries.
"Tompco, Inc.",,veteran-owned,Jeff D. Tompson,8505 Leeward Ave NW,Seabeck,WA,98380-8811,"TOMPCO is a full service contractor focusing primarily on marine, wastewater and industrial projects for Federal, State, and Local Government agencies."
BiSOFT Consultancy Services LLC,Bisoft,veteran-owned,PRIYADHARSHINI BALAJI,16310 NE 80th St Ste 104,Redmond,WA,98052-3861,"IT CONSULTING COMPANY SPECIALIZED in IT SERVICES & STAFFING FOR DESIGN, DEVELOPMENT, TESTING, MAINTENANCE, SUPPORT OF WEBSITEs, WEB TECHNOLOGIES & APPLICATION SOFTWAREs. SEO, E-COMMERCE PRODUCT DEVELOPMENT. CUSTOMIZED APPLICATION DEVELOPMENT OF MAINFRAME AND OPEN SYSTEMS. OPTIONAL COST EFFECTIVE ONSITE-OFFSHORE MODEL."
Skytek LLC,,veteran-owned,Gene DeAtley,5800 NE 88TH ST STE 104,VANCOUVER,WA,98665-1155,"Skytek is a general contractor for commercial/indutrial building including design/build. We specialize in renovations of medical facilities, USACE projects, security, roofing, weatherization, firewall, and other green building techniques."
Native Ways LLC ,Apachewolf Productions ,veteran-owned,Freddie W Begay,15313 NE 13th Pl Ste 802,Bellevue,WA,98007-4521,"Video shooting, pre and post production, editing, and live video streaming. Producing training, instructional, informational, archival, and commercial videos. Aerial drone video services."
ROGER G FLYGARE AND ASSOC INC,,veteran-owned,Karla J. Flygare,1715 S 324TH PL STE 250,FEDERAL WAY,WA,98003-8581,"We provide Real Time Court Reporters, Professional Legal Video Services, Videoconference Suite, Conference Rooms, Legal Transcriptionists, Process Service, Litigation Support, Legal Services. NCRA members, GSA Approved, WSCRA, WFSRA members."
SSI CABLE CORPORATION,,veteran-owned,BILL   SMITH,820 E HIAWATHA BLVD,SHELTON,WA,98584-7892,Microwave Coaxial Cable Assemblies
"Applied Technical Systems, Inc.",ATS,veteran-owned,FELICIA A HUDLOW,9307 Bayshore Dr NW,Silverdale,WA,98383-9113,"ATS is a CVE verified SDVOSB accredited to ISO 9001:2015 and CMMI Dev Level III standards. Our core competencies are software design and development, data analytics, and integrated logistics support."
"Aegis Technologies Group, Inc.",,veteran-owned,Mark Tiernan,655 S ORCAS ST STE 100,SEATTLE,WA,98108-2648,"Research & development, custom software development (embedded & enterprise), hardware design & development (mechanical, electrical & manufacturing engineering), test equip & electrical design & manu, consulting, system integration, & program management."
